day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,24,24,0.6,94.32,-3.93,1.97,1.62,0,0,8583,0.94,32,0,0.182255,1,0.182255,0,0,0,0,0,0,0.182255,0.182255,0,2.53049,4.68596,0,0.182255,-0.195358,4.68596,69.8648,65.1789,0,0
2,24,48,0.6,188.64,-3.93,1.97,1.62,0,0,8583,0.94,32,0.112503,0.0690242,1,0.251279,0,0,0,0,0,0,0.0690242,0.251279,0,2.53049,4.68596,0,0.0690242,-0.446637,4.68596,29.3707,24.6848,0,0
3,24,72,0.6,282.96,-3.93,1.97,1.62,0,0,8583,0.94,32,0.15511,0.0511945,1,0.302473,0,0,0,0,0,0,0.0511945,0.302473,0,2.53049,4.68596,0,0.0511945,-0.566855,4.68596,22.9944,18.3084,0,0
4,24,96,0.6,377.28,-3.93,1.97,1.62,0,0,8583,0.94,32,0.186712,0.0419376,1,0.344411,0,0,0,0,0,0,0.0419376,0.344411,0,2.53049,4.68596,0,0.0419376,-0.659988,4.68596,19.6839,14.9979,0,0
5,24,120,0.6,471.6,-3.93,1.97,1.62,0,0,8583,0.94,32,0.212599,0.036018,1,0.380429,0,0,0,0,0,0,0.036018,0.380429,0,2.53049,4.68596,0,0.036018,-0.737943,4.68596,17.5669,12.881,0,0
6,24,144,0.6,565.92,-3.93,1.97,1.62,0,0,8583,0.94,32,0.234833,0.0318145,1,0.412244,0,0,0,0,0,0,0.0318145,0.412244,0,2.53049,4.68596,0,0.0318145,-0.805776,4.68596,16.0636,11.3777,0,0
7,24,168,0.6,660.24,-3.93,1.97,1.62,0,0,8583,0.94,32,0.254471,0.028632,1,0.440876,0,0,0,0,0,0,0.028632,0.440876,0,2.53049,4.68596,0,0.028632,-0.866222,4.68596,14.9255,10.2395,0,0
8,24,192,0.6,754.56,-3.93,1.97,1.62,0,0,8583,0.94,32,0.272145,0.0261152,1,0.466991,0,0,0,0,0,0,0.0261152,0.466991,0,2.53049,4.68596,0,0.0261152,-0.920969,4.68596,14.0254,9.33945,0,0
9,24,216,0.6,848.88,-3.93,1.97,1.62,0,0,8583,0.94,32,0.288266,0.0240612,1,0.491052,0,0,0,0,0,0,0.0240612,0.491052,0,2.53049,4.68596,0,0.0240612,-0.971146,4.68596,13.2908,8.60489,0,0
10,24,240,0.6,943.2,-3.93,1.97,1.62,0,0,8583,0.94,32,0.303119,0.0223442,1,0.513396,0,0,0,0,0,0,0.0223442,0.513396,0,2.53049,4.68596,0,0.0223442,-1.01755,4.68596,12.6768,7.99085,0,0
11,24,264,0.6,1037.52,-3.93,1.97,1.62,0,0,8583,0.94,32,0.316911,0.0208817,1,0.534278,0,0,0,0,0,0,0.0208817,0.534278,0,2.53049,4.68596,0,0.0208817,-1.06078,4.68596,12.1538,7.46782,0,0
12,24,288,0.6,1131.84,-3.93,1.97,1.62,0,0,8583,0.94,32,0.329801,0.0196169,1,0.553895,0,0,0,0,0,0,0.0196169,0.553895,0,2.53049,4.68596,0,0.0196169,-1.10128,4.68596,11.7015,7.01549,0,0
13,24,312,0.6,1226.16,-3.93,1.97,1.62,0,0,8583,0.94,32,0.34191,0.0185093,1,0.572404,0,0,0,0,0,0,0.0185093,0.572404,0,2.53049,4.68596,0,0.0185093,-1.1394,4.68596,11.3053,6.61939,0,0
