day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,24,24,0.7,93.6,-3.9,2.33,2.56,0,0,17397,0.94,63,0,0.162193,1,0.162193,0,0,0,0,0,0,0.162193,0.162193,0,2.53049,5.54227,0,0.162193,-0.169839,5.54227,123.112,117.57,0,0
2,24,48,0.7,187.2,-3.9,2.33,2.56,0,0,17397,0.94,63,0.0633568,0.0633917,1,0.225585,0,0,0,0,0,0,0.0633917,0.225585,0,2.53049,5.54227,0,0.0633917,-0.395424,5.54227,51.4933,45.951,0,0
3,24,72,0.7,280.8,-3.9,2.33,2.56,0,0,17397,0.94,63,0.0881192,0.0475853,1,0.27317,0,0,0,0,0,0,0.0475853,0.27317,0,2.53049,5.54227,0,0.0475853,-0.506401,5.54227,40.0356,34.4934,0,0
4,24,96,0.7,374.4,-3.9,2.33,2.56,0,0,17397,0.94,63,0.106707,0.0393844,1,0.312555,0,0,0,0,0,0,0.0393844,0.312555,0,2.53049,5.54227,0,0.0393844,-0.593371,5.54227,34.0911,28.5488,0,0
5,24,120,0.7,468,-3.9,2.33,2.56,0,0,17397,0.94,63,0.122092,0.0341393,1,0.346694,0,0,0,0,0,0,0.0341393,0.346694,0,2.53049,5.54227,0,0.0341393,-0.666895,5.54227,30.289,24.7467,0,0
6,24,144,0.7,561.6,-3.9,2.33,2.56,0,0,17397,0.94,63,0.135427,0.0304127,1,0.377107,0,0,0,0,0,0,0.0304127,0.377107,0,2.53049,5.54227,0,0.0304127,-0.731447,5.54227,27.5877,22.0454,0,0
7,24,168,0.7,655.2,-3.9,2.33,2.56,0,0,17397,0.94,63,0.147307,0.0275892,1,0.404696,0,0,0,0,0,0,0.0275892,0.404696,0,2.53049,5.54227,0,0.0275892,-0.789449,5.54227,25.541,19.9987,0,0
8,24,192,0.7,748.8,-3.9,2.33,2.56,0,0,17397,0.94,63,0.158084,0.0253544,1,0.43005,0,0,0,0,0,0,0.0253544,0.43005,0,2.53049,5.54227,0,0.0253544,-0.842392,5.54227,23.921,18.3788,0,0
9,24,216,0.7,842.4,-3.9,2.33,2.56,0,0,17397,0.94,63,0.167988,0.0235288,1,0.453579,0,0,0,0,0,0,0.0235288,0.453579,0,2.53049,5.54227,0,0.0235288,-0.891275,5.54227,22.5977,17.0554,0,0
10,24,240,0.7,936,-3.9,2.33,2.56,0,0,17397,0.94,63,0.177179,0.0220012,1,0.47558,0,0,0,0,0,0,0.0220012,0.47558,0,2.53049,5.54227,0,0.0220012,-0.936805,5.54227,21.4904,15.9481,0,0
11,24,264,0.7,1029.6,-3.9,2.33,2.56,0,0,17397,0.94,63,0.185774,0.0206986,1,0.496279,0,0,0,0,0,0,0.0206986,0.496279,0,2.53049,5.54227,0,0.0206986,-0.979505,5.54227,20.5462,15.0039,0,0
12,24,288,0.7,1123.2,-3.9,2.33,2.56,0,0,17397,0.94,63,0.193859,0.0195709,1,0.51585,0,0,0,0,0,0,0.0195709,0.51585,0,2.53049,5.54227,0,0.0195709,-1.01977,5.54227,19.7287,14.1864,0,0
13,24,312,0.7,1216.8,-3.9,2.33,2.56,0,0,17397,0.94,63,0.201504,0.0185822,1,0.534432,0,0,0,0,0,0,0.0185822,0.534432,0,2.53049,5.54227,0,0.0185822,-1.05793,5.54227,19.012,13.4698,0,0
14,24,336,0.7,1310.4,-3.9,2.33,2.56,0,0,17397,0.94,63,0.208763,0.0177062,1,0.552138,0,0,0,0,0,0,0.0177062,0.552138,0,2.53049,5.54227,0,0.0177062,-1.09422,5.54227,18.3771,12.8348,0,0
15,24,360,0.7,1404,-3.9,2.33,2.56,0,0,17397,0.94,63,0.215679,0.0169232,1,0.569062,0,0,0,0,0,0,0.0169232,0.569062,0,2.53049,5.54227,0,0.0169232,-1.12885,5.54227,17.8095,12.2672,0,0
16,24,384,0.7,1497.6,-3.9,2.33,2.56,0,0,17397,0.94,63,0.22229,0.0162178,1,0.585279,0,0,0,0,0,0,0.0162178,0.585279,0,2.53049,5.54227,0,0.0162178,-1.16199,5.54227,17.2982,11.7559,0,0
17,24,408,0.7,1591.2,-3.9,2.33,2.56,0,0,17397,0.94,63,0.228625,0.0155781,1,0.600858,0,0,0,0,0,0,0.0155781,0.600858,0,2.53049,5.54227,0,0.0155781,-1.19378,5.54227,16.8345,11.2922,0,0
18,24,432,0.7,1684.8,-3.9,2.33,2.56,0,0,17397,0.94,63,0.23471,0.0149946,1,0.615852,0,0,0,0,0,0,0.0149946,0.615852,0,2.53049,5.54227,0,0.0149946,-1.22436,5.54227,16.4115,10.8692,0,0
19,24,456,0.7,1778.4,-3.9,2.33,2.56,0,0,17397,0.94,63,0.240567,0.0144595,1,0.630312,0,0,0,0,0,0,0.0144595,0.630312,0,2.53049,5.54227,0,0.0144595,-1.25381,5.54227,16.0236,10.4813,0,0
20,24,480,0.7,1872,-3.9,2.33,2.56,0,0,17397,0.94,63,0.246215,0.0139665,1,0.644278,0,0,0,0,0,0,0.0139665,0.644278,0,2.53049,5.54227,0,0.0139665,-1.28224,5.54227,15.6662,10.1239,0,0
21,24,504,0.7,1965.6,-3.9,2.33,2.56,0,0,17397,0.94,63,0.251671,0.0135104,1,0.657788,0,0,0,0,0,0,0.0135104,0.657788,0,2.53049,5.54227,0,0.0135104,-1.30971,5.54227,15.3356,9.79335,0,0
22,24,528,0.7,2059.2,-3.9,2.33,2.56,0,0,17397,0.94,63,0.256949,0.0130869,1,0.670875,0,0,0,0,0,0,0.0130869,0.670875,0,2.53049,5.54227,0,0.0130869,-1.33631,5.54227,15.0286,9.48636,0,0
23,24,552,0.7,2152.8,-3.9,2.33,2.56,0,0,17397,0.94,63,0.262061,0.0126923,1,0.683568,0,0,0,0,0,0,0.0126923,0.683568,0,2.53049,5.54227,0,0.0126923,-1.36209,5.54227,14.7426,9.20032,0,0
24,24,576,0.7,2246.4,-3.9,2.33,2.56,0,0,17397,0.94,63,0.267019,0.0123235,1,0.695891,0,0,0,0,0,0,0.0123235,0.695891,0,2.53049,5.54227,0,0.0123235,-1.3871,5.54227,14.4752,8.93297,0,0
24.3399,8.15776,584.158,0.7,2278.22,-3.9,2.33,2.56,0,0,17397,0.94,63,0.271832,0.00410892,1,0.7,0,0,0,0,0,0,0.00410892,0.7,0,2.53049,5.54227,0,0.0119778,-1.41141,5.54227,14.3048,8.76257,0,0
25,15.8422,600,1.2,2340,-3.9,1.52,2.16,9.19431,6,36917,0.94,97,0.273438,0.00215241,1,0.702152,6.19895e-05,6.19895e-05,0.00104646,0.00104646,0.00110845,0.00110845,0.00326087,0.703261,1,2.53049,3.61556,0,0.00215241,-1.18495,3.61556,14.2369,5.01574,5.60561,0
26,24,624,1.2,2433.6,-3.9,1.52,2.16,9.19072,6,36917,0.94,97,0.27493,0.00322675,1,0.705379,9.29303e-05,0.00015492,0.0015747,0.00262116,0.00166763,0.00277608,0.00489438,0.708155,1,2.53049,3.61556,0,0.00322675,-1.19327,3.61556,14.147,4.96341,5.56803,0
27,24,648,1.2,2527.2,-3.9,1.52,2.16,9.18532,6,36917,0.94,97,0.27717,0.0031841,1,0.708563,9.17021e-05,0.000246622,0.00156115,0.00418231,0.00165285,0.00442893,0.00483695,0.712992,1,2.53049,3.61556,0,0.0031841,-1.20291,3.61556,14.0335,4.89781,5.52011,0
28,24,672,1.2,2620.8,-3.9,1.52,2.16,9.17999,6,36917,0.94,97,0.279383,0.00314262,1,0.711706,9.05075e-05,0.000337129,0.00154796,0.00573028,0.00163847,0.0060674,0.00478109,0.717773,1,2.53049,3.61556,0,0.00314262,-1.21243,3.61556,13.9231,4.83401,5.4735,0
29,24,696,1.2,2714.4,-3.9,1.52,2.16,9.17472,6,36917,0.94,97,0.281571,0.00310225,1,0.714808,8.93449e-05,0.000426474,0.00153514,0.00726541,0.00162448,0.00769189,0.00472674,0.7225,1,2.53049,3.61556,0,0.00310225,-1.22184,3.61556,13.8156,4.77191,5.42814,0
30,24,720,1.2,2808,-3.9,1.52,2.16,9.16952,6,36917,0.94,97,0.283734,0.00306295,1,0.717871,8.8213e-05,0.000514687,0.00152265,0.00878806,0.00161086,0.00930275,0.00467381,0.727174,1,2.53049,3.61556,0,0.00306295,-1.23114,3.61556,13.711,4.71146,5.38399,0
31,24,744,1.2,2954.4,-6.1,1.52,2.16,9.16438,6,36917,0.88,97,0.285873,0.00618544,1,0.724057,0.000178141,0.000692828,0.00235654,0.0111446,0.00253468,0.0118374,0.00872011,0.735894,1,2.53049,3.38478,0,0.00618544,-1.24336,3.38478,21.2318,9.51449,8.33256,0
32,24,768,1.2,3100.8,-6.1,1.52,2.16,9.1548,6,36917,0.88,97,0.289871,0.00607664,1,0.730133,0.000175007,0.000867835,0.00232196,0.0134666,0.00249697,0.0143344,0.00857361,0.744468,1,2.53049,3.38478,0,0.00607664,-1.26052,3.38478,20.9422,9.34714,8.21031,0
33,24,792,1.2,3247.2,-6.1,1.52,2.16,9.14538,6,36917,0.88,97,0.293802,0.00597251,1,0.736106,0.000172008,0.00103984,0.00228888,0.0157554,0.00246089,0.0167953,0.0084334,0.752901,1,2.53049,3.38478,0,0.00597251,-1.2774,3.38478,20.6651,9.18697,8.09332,0
34,24,816,1.2,3393.6,-6.1,1.52,2.16,9.13613,6,36917,0.88,97,0.297668,0.00587272,1,0.741978,0.000169134,0.00120898,0.00225717,0.0180126,0.00242631,0.0192216,0.00829902,0.7612,1,2.53049,3.38478,0,0.00587272,-1.294,3.38478,20.3995,9.03346,7.98121,0
35,24,840,1.2,3540,-6.1,1.52,2.16,9.12704,6,36917,0.88,97,0.301473,0.00577697,1,0.747755,0.000166377,0.00137535,0.00222676,0.0202394,0.00239313,0.0216147,0.0081701,0.76937,1,2.53049,3.38478,0,0.00577697,-1.31034,3.38478,20.1446,8.88618,7.87367,0
