day,dt,temp,site_z,site_h
1,24,7.0,,
2,24,7.5,,
3,24,6.3,,
4,24,5.4,,
5,24,4.4,,
6,24,4.3,,
7,24,0.2,,
8,24,2.2,,
9,24,0.4,,
10,24,2.1,,
11,24,1.1,,
12,24,1.5,,
13,24,2.7,,
14,24,3.4,,
15,24,2.0,,
16,24,3.9,,
17,24,-0.1,0.02279280201632793,
18,24,2.6,,
19,24,-1.7,0.038070272595736976,
20,24,-0.3,0.12393241592632956,
21,24,1.9,0.08418944667360627,
22,24,0.2,0.13337499892224522,
23,24,0.3,0.10239277355422112,
24,24,0.0,0.09854480362064395,
25,24,0.4,0.09713642497439177,
26,24,0.5,0.08703984571357846,
27,24,2.5,0.03516843238168077,
28,24,1.2,0.030202444439534654,
29,24,-1.4,0.02976679385486682,
30,24,-1.9,0.04978793315287029,
31,24,2.6,0.07144119802517174,
32,24,1.3,,
33,24,-0.1,,
34,24,-4.9,0.1583871553943257,
35,24,-2.5,0.22430972751797562,
36,24,-0.9,0.2536982465614151,
37,24,-4.0,0.27204003604822874,
38,24,-5.4,0.46569043524470005,
39,24,-2.0,0.5363877551810979,
40,24,2.3,0.4451380042002539,
41,24,-5.6,0.554868222586729,
42,24,-12.2,0.6254055818658787,
43,24,-2.7,,
44,24,-3.0,0.7126511768504651,
45,24,-9.4,0.7399690362695828,
46,24,-4.1,0.7890006852189551,
47,24,-2.4,0.8220458483305557,
48,24,-5.0,0.8320260649544547,
49,24,-13.9,0.8458322942205778,
50,24,-9.2,0.8802898763250796,
51,24,-15.3,0.9069826264237443,
52,24,-19.3,0.9384027984996756,
53,24,-9.1,0.9674916229331142,
54,24,2.4,,
55,24,-0.9,,
56,24,-3.2,,
57,24,-5.8,,
58,24,-15.2,,
59,24,-17.0,,
60,24,-20.8,1.0633529641239776,
61,24,-14.6,1.0760582321343477,
62,24,-11.6,1.0963996937283076,
63,24,-3.7,1.1034218901487758,
64,24,-2.9,1.107097519073219,
65,24,-3.9,1.111782809923985,
66,24,-4.4,1.1140933326720832,
67,24,-8.5,1.115878244076325,
68,24,0.6,1.109204891794573,
69,24,-2.5,1.1132888847389313,
70,24,-5.3,1.112600052657594,
71,24,-24.1,1.1261240730866506,
72,24,-12.2,1.1196115105379496,
73,24,-15.3,1.1261586758509956,
74,24,-16.3,1.1330095155799496,
75,24,-12.9,1.1395939668023884,
76,24,-8.7,1.1453284881968826,
77,24,-9.3,1.154029981883225,
78,24,-13.1,1.1620692265973789,
79,24,-8.3,1.1622320383753066,
80,24,-5.6,1.1666142558452477,
81,24,-2.7,1.1687050928829597,
82,24,-6.7,1.1681582476526708,
83,24,-3.5,1.161805173658349,
84,24,-0.8,1.1640511991718792,
85,24,-3.6,1.169013608395199,
86,24,-8.0,1.1675791362964505,
87,24,-8.3,1.163901109000265,
88,24,-6.9,1.1661212880256633,
89,24,-5.4,1.1679821792730511,
90,24,-7.0,1.170088894989581,
91,24,-16.5,1.1742324633963634,
92,24,-16.3,1.1758859426441464,
93,24,-2.1,1.1784982506679074,
94,24,-5.9,1.189871050557933,
95,24,-10.8,1.1952188338597707,
96,24,-5.7,1.1950182449930957,
97,24,-9.1,1.1967906300777202,
98,24,-7.8,,
99,24,-6.4,,
100,24,-5.3,,
101,24,-19.5,,
102,24,-24.1,,
103,24,-6.0,,
104,24,-8.3,,
105,24,-16.1,,
106,24,-12.9,,
107,24,-5.9,,
108,24,-4.2,,
109,24,-4.7,,
110,24,-9.4,1.3066117106423372,
111,24,-19.7,1.312652666757682,
112,24,-14.5,1.3164715746786269,
113,24,-21.6,1.343409146499424,
114,24,-27.5,1.3612016247684873,
115,24,-12.8,1.374921064643256,
116,24,-2.1,1.38936491922249,
117,24,-1.1,1.3967705174818636,
118,24,-5.6,1.4002590768460914,
119,24,-6.5,1.3950673894698056,
120,24,-5.2,1.3889685152267919,
121,24,-6.3,1.3868995709958458,
122,24,-12.6,1.3892848539023306,
123,24,-4.8,1.3825442637100582,
124,24,-5.3,1.3871938820844725,
125,24,-22.0,1.404544234086858,
126,24,-23.2,1.408564877470444,
127,24,-23.2,1.4253316255117303,
128,24,-10.4,1.4428182955532112,
129,24,-8.9,1.4564589368066527,
130,24,-8.1,1.4632295712276433,
131,24,-13.6,1.4695189584405333,
132,24,-3.4,1.4645234468826198,
133,24,-4.1,1.4660707197989473,
134,24,-5.4,1.465334581586772,
135,24,-6.1,1.4641204784005097,
136,24,-11.9,1.467228872104082,
137,24,-5.9,1.4559834990298948,
138,24,-4.3,1.4585226024631732,
139,24,-6.6,1.4634108073735788,
140,24,-9.8,1.4672137756504537,
141,24,-11.9,1.4728924856403136,
