day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.230707,5.53696,5.53696,0.09,5.53696,-1,1.48,1.48,0,0,1250,1,0,0,0.09,1,0.09,0,0,0,0,0,0,0.09,0.09,0,3.26463,12.5709,1,0.146519,-0.38788,12.5709,32.8889,20.318,0,0
1,18.463,24,0.767,24,-1,1.77,1.89,0,0,7897,1,52,0.0608108,0.00779528,1,0.0977953,0,0,0,0,0,0,0.00779528,0.0977953,1,3.26463,12.5709,1,0.00779528,-0.267051,12.5709,15.9051,3.33419,0,0
2,24,48,0.767,72,-2,1.77,1.89,0,0,7897,1,52,0.0649353,0.0422669,1,0.140062,0,0,0,0,0,0,0.0422669,0.140062,1,3.26463,12.3678,1,0.0422669,-0.32531,12.3678,26.2753,13.9076,0,0
3,24,72,0.767,168,-4,1.77,1.89,0,0,7897,1,52,0.0872988,0.0761545,1,0.216217,0,0,0,0,0,0,0.0761545,0.216217,1,3.26463,12.1702,1,0.0761545,-0.443131,12.1702,37.2282,25.058,0,0
4,24,96,0.767,168,0.5,1.77,1.89,0,0,7897,1,52,0.127592,-0.0496798,1,0.166537,0,0,0,0,0,0,-0.0496798,0.166537,1,3.26463,11.978,1,-0.0496798,-0.469021,11.978,-4.36875,-16.3467,-0,0
5,24,120,0.767,168,3,1.77,1.89,0,0,7897,1,52,0.101307,-0.125832,0,0.0407047,0,0,0,0,0,0,-0.125832,0.0407047,1,3.26463,11.7909,1,-0.125832,nan,11.7909,-44.1062,-41.404,-0,0
6,24,144,0.09,168,2.5,1.48,1.48,0,0,1250,1,0,0.0275032,-1.96814,0,0.01,0,0,0,0,0,0,-1.96814,0,0,3.26463,11.6088,1,-1.96814,nan,11.6088,3.92213,-102.507,0,0
6.03051,0.732233,144.732,0.09,171.661,-5,1.48,1.48,0,0,1250,1,0,0.00675676,0.08,1,0.09,0,0,0,0,0,0,0.08,0.08,0,3.26463,11.4314,1,0.422577,-0.662058,11.4314,148,136.569,0,0
7,23.2678,168,0.767,288,-5,1.77,1.89,0,0,7897,1,52,0.0608108,0.123783,1,0.213783,0,0,0,0,0,0,0.123783,0.203783,1,3.26463,11.4314,1,0.123783,-0.38733,11.4314,53.443,42.0116,0,0
8,24,192,0.767,336,-2,1.77,1.89,0,0,7897,1,52,0.126305,0.0126643,1,0.226448,0,0,0,0,0,0,0.0126643,0.216448,1,3.26463,11.2585,1,0.0126643,-0.524312,11.2585,15.4256,4.16707,0,0
9,24,216,0.767,336,1.5,1.77,1.89,0,0,7897,1,52,0.133005,-0.073883,1,0.152564,0,0,0,0,0,0,-0.073883,0.142564,1,3.26463,11.09,1,-0.073883,-0.462581,11.09,-13.2206,-24.3106,-0,0
10,24,240,0.767,336,0.5,1.77,1.89,0,0,7897,1,52,0.0939137,-0.0521729,1,0.100392,0,0,0,0,0,0,-0.0521729,0.0903916,1,3.26463,10.9257,1,-0.0521729,-0.336026,10.9257,-6.24131,-17.1671,-0,0
11,24,264,0.767,396,-2.5,1.77,1.89,0,0,7897,1,52,0.066309,0.0597945,1,0.160186,0,0,0,0,0,0,0.0597945,0.150186,1,3.26463,10.7655,1,0.0597945,-0.34316,10.7655,30.4404,19.6749,0,0
12,24,288,0.767,396,0,1.77,1.89,0,0,7897,1,52,0.0979463,-0.0322429,1,0.127943,0,0,0,0,0,0,-0.0322429,0.117943,1,3.26463,10.6092,1,-0.0322429,-0.370237,10.6092,0,-10.6092,0,0
13,24,312,0.767,528,-5.5,1.77,1.89,0,0,7897,1,52,0.0808866,0.117501,1,0.245445,0,0,0,0,0,0,0.117501,0.235445,1,3.26463,10.4567,1,0.117501,-0.455032,10.4567,49.1196,38.6629,0,0
14,24,336,0.767,528,1,1.77,1.89,0,0,7897,1,52,0.143057,-0.0549753,1,0.190469,0,0,0,0,0,0,-0.0549753,0.180469,1,3.26463,10.3078,1,-0.0549753,-0.517106,10.3078,-7.78132,-18.0892,-0,0
15,24,360,0.767,528,0,1.77,1.89,0,0,7897,1,52,0.113969,-0.030885,1,0.159584,0,0,0,0,0,0,-0.030885,0.149584,1,3.26463,10.1625,1,-0.030885,-0.430804,10.1625,0,-10.1625,0,0
16,24,384,0.767,528,0.5,1.77,1.89,0,0,7897,1,52,0.0976279,-0.0483659,1,0.111218,0,0,0,0,0,0,-0.0483659,0.101218,1,3.26463,10.0205,1,-0.0483659,-0.351121,10.0205,-5.89395,-15.9144,-0,0
17,24,408,0.767,528,1.5,1.77,1.89,0,0,7897,1,52,0.0720375,-0.0933141,0,0.0179043,0,0,0,0,0,0,-0.0933141,0.00790434,1,3.26463,9.88172,1,-0.0933141,nan,9.88172,-31.6782,-30.7042,-0,0
17.1196,2.86992,410.87,0.09,532.305,-1.5,1.48,1.48,0,0,1250,1,0,0.0120975,0.0720957,1,0.09,0,0,0,0,0,0,0.0720957,0.08,0,3.26463,9.74615,1,0.190149,-0.413083,9.74615,41.1476,31.4014,0,0
18,21.1301,432,0.767,564,-1.5,1.77,1.89,0,0,7897,1,52,0.0608108,0.0318834,1,0.121883,0,0,0,0,0,0,0.0318834,0.111883,1,3.26463,9.74615,1,0.0318834,-0.287826,9.74615,21.662,11.9159,0,0
19,24,456,0.767,576,-0.5,1.77,1.89,0,0,7897,1,52,0.0776804,-0.0090343,1,0.112849,0,0,0,0,0,0,-0.0090343,0.102849,1,3.26463,9.61362,1,-0.0090343,-0.313814,9.61362,6.64096,-2.97266,0,0
20,24,480,0.767,576,1.5,1.77,1.89,0,0,7897,1,52,0.0729003,-0.0913565,0,0.0214927,0,0,0,0,0,0,-0.0913565,0.0114927,1,3.26463,9.48404,1,-0.0913565,nan,9.48404,-30.7806,-30.0601,-0,0
20.0816,1.95778,481.958,0.09,579.916,-2,1.48,1.48,0,0,1250,1,0,0.0145221,0.0685073,1,0.09,0,0,0,0,0,0,0.0685073,0.08,0,3.26463,9.35731,1,0.232674,-0.45532,9.35731,53.0977,43.7403,0,0
21,22.0422,504,0.767,624,-2,1.77,1.89,0,0,7897,1,52,0.0608108,0.0494338,1,0.139434,0,0,0,0,0,0,0.0494338,0.129434,1,3.26463,9.35731,1,0.0494338,-0.305417,9.35731,27.0678,17.7105,0,0
22,24,528,0.767,624,1,1.77,1.89,0,0,7897,1,52,0.0869662,-0.0729793,1,0.0664545,0,0,0,0,0,0,-0.0729793,0.0564545,1,3.26463,9.23334,1,-0.0729793,-0.283814,9.23334,-14.7799,-24.0132,-0,0
22.0092,0.221655,528.222,0.09,625.662,-7.5,1.48,1.48,0,0,1250,1,0,0.0449017,0.0235455,1,0.09,0,0,0,0,0,0,0.0235455,0.08,0,3.26463,9.11204,1,0.499279,-0.807139,9.11204,141.894,132.782,0,0
23,23.7783,552,0.767,804,-7.5,1.77,1.89,0,0,7897,1,52,0.0608108,0.180554,1,0.270554,0,0,0,0,0,0,0.180554,0.260554,1,3.26463,9.11204,1,0.180554,-0.437856,9.11204,69.0757,59.9637,0,0
24,24,576,0.767,1056,-10.5,1.77,1.89,0,0,7897,1,52,0.156342,0.138112,1,0.408667,0,0,0,0,0,0,0.138112,0.398667,1,3.26463,8.99332,1,0.138112,-0.756418,8.99332,54.438,45.4447,0,0
25,24,600,0.767,1356,-12.5,1.77,1.89,0,0,7897,1,52,0.229418,0.118677,1,0.527344,0,0,0,0,0,0,0.118677,0.517344,1,3.26463,8.8771,1,0.118677,-1.01285,8.8771,47.9269,39.0498,0,0
26,24,624,0.767,1632,-11.5,1.77,1.89,0,0,7897,1,52,0.29221,0.0844755,1,0.61182,0,0,0,0,0,0,0.0844755,0.60182,1,3.26463,8.7633,1,0.0844755,-1.21566,8.7633,36.5593,27.796,0,0
27,24,648,0.767,1668,-1.5,1.77,1.89,0,0,7897,1,52,0.336906,-0.0126275,1,0.599192,0,0,0,0,0,0,-0.0126275,0.589192,1,3.26463,8.65185,1,-0.0126275,-1.28717,8.65185,4.49687,-4.15498,0,0
28,24,672,0.767,1668,4,1.77,1.89,0,0,7897,1,52,0.330225,-0.0647906,1,0.534402,0,0,0,0,0,0,-0.0647906,0.524402,1,3.26463,8.54268,1,-0.0647906,-1.20942,8.54268,-12.7761,-21.3188,-0,0
29,24,696,0.767,1704,-1.5,1.77,1.89,0,0,7897,1,52,0.295944,-0.0100931,1,0.524308,0,0,0,0,0,0,-0.0100931,0.514308,1,3.26463,8.43571,1,-0.0100931,-1.13421,8.43571,5.11467,-3.32104,0,0
30,24,720,0.767,1848,-6,1.77,1.89,0,0,7897,1,52,0.290604,0.0354667,1,0.559775,0,0,0,0,0,0,0.0354667,0.549775,1,3.26463,8.33089,1,0.0354667,-1.15927,8.33089,20.0009,11.67,0,0
31,24,744,0.767,2040,-8,1.77,1.89,0,0,7897,0.94,52,0.309369,0.0503393,1,0.610114,0,0,0,0,0,0,0.0503393,0.600114,1,3.26463,8.22814,1,0.0503393,-1.24476,8.22814,24.7919,16.5637,0,0
32,24,768,0.767,2184,-6,1.77,1.89,0,0,7897,0.94,52,0.336004,0.028383,1,0.638498,0,0,0,0,0,0,0.028383,0.628498,1,3.26463,8.12741,1,0.028383,-1.32318,8.12741,17.4666,9.33921,0,0
33,24,792,0.767,2196,-0.5,1.77,1.89,0,0,7897,0.94,52,0.351021,-0.0200048,1,0.618493,0,0,0,0,0,0,-0.0200048,0.608493,1,3.26463,8.02864,1,-0.0200048,-1.33126,8.02864,1.44622,-6.58242,0,0
34,24,816,0.767,2208,-0.5,1.77,1.89,0,0,7897,0.94,52,0.340437,-0.0195731,1,0.59892,0,0,0,0,0,0,-0.0195731,0.58892,1,3.26463,7.93177,1,-0.0195731,-1.29138,7.93177,1.49139,-6.44038,0,0
35,24,840,0.767,2208,1,1.77,1.89,0,0,7897,0.94,52,0.33008,-0.0332764,1,0.565643,0,0,0,0,0,0,-0.0332764,0.555643,1,3.26463,7.83674,1,-0.0332764,-1.23824,7.83674,-3.11258,-10.9493,-0,0
36,24,864,0.767,2220,-0.5,1.77,1.89,0,0,7897,0.94,52,0.312474,-0.0185927,1,0.54705,0,0,0,0,0,0,-0.0185927,0.53705,1,3.26463,7.74351,1,-0.0185927,-1.18609,7.74351,1.62572,-6.11779,0,0
37,24,888,0.767,2232,-0.5,1.77,1.89,0,0,7897,0.94,52,0.302636,-0.0181534,1,0.528897,0,0,0,0,0,0,-0.0181534,0.518897,1,3.26463,7.65202,1,-0.0181534,-1.14907,7.65202,1.67879,-5.97323,0,0
38,24,912,0.767,2352,-5,1.77,1.89,0,0,7897,0.94,52,0.293031,0.0276128,1,0.55651,0,0,0,0,0,0,0.0276128,0.54651,1,3.26463,7.56223,1,0.0276128,-1.15825,7.56223,16.648,9.08577,0,0
39,24,936,0.767,2544,-8,1.77,1.89,0,0,7897,0.94,52,0.307641,0.0528784,1,0.609388,0,0,0,0,0,0,0.0528784,0.599388,1,3.26463,7.47409,1,0.0528784,-1.23848,7.47409,24.8733,17.3992,0,0
40,24,960,0.767,2568,-1,1.77,1.89,0,0,7897,0.94,52,0.335619,-0.0133005,1,0.596088,0,0,0,0,0,0,-0.0133005,0.586088,1,3.26463,7.38755,1,-0.0133005,-1.27779,7.38755,3.01113,-4.37641,0,0
