day,dt,temp,site_z,site_h
0.20000000000000284,3.61,-1.8,,
1.0,20.39,-1.8,,
2.0,24.0,-4.3,,
3.0,24.0,-6.3,0.0,0.0
4.0,24.0,-3.3,,
5.0,23.62,-5.8,,
5.0,0.38,-5.8,,
6.0,24.0,-2.5,,
7.0,24.0,3.0,,
8.0,24.0,5.3,,
9.0,24.0,-1.0,,
10.0,24.0,-4.0,,
10.5,11.46,-8.5,,
11.0,12.54,-8.5,,
11.399999999999999,9.61,-9.3,,
12.0,14.39,-9.3,,
13.0,24.0,-6.5,,
14.0,24.0,-0.8,,
14.200000000000003,5.42,3.0,,
15.0,18.58,3.0,0.37,
16.0,24.0,3.0,,
17.0,24.0,-1.0,,
18.0,24.0,-6.0,,
18.200000000000003,4.11,-9.3,,
19.0,19.89,-9.3,,
19.200000000000003,4.02,-10.3,,
20.0,19.98,-10.3,,
21.0,24.0,-12.3,,
22.0,24.0,-12.3,,
23.0,24.0,-10.3,,
24.0,24.0,-2.5,,
24.4,9.8,2.3,,
25.0,14.2,2.3,,
26.0,24.0,-2.0,0.43,
27.0,24.0,-1.8,,
28.0,24.0,-0.8,,
29.0,24.0,-0.3,,
30.0,24.0,2.3,,
31.0,24.0,-1.5,,
32.0,24.0,-1.8,0.38,
32.6,14.23,-3.0,,
33.0,9.77,-3.0,,
34.0,24.0,-2.5,,
35.0,24.0,-3.8,,
36.0,24.0,-1.3,,
37.0,24.0,-4.3,,
37.4,10.12,-11.5,,
38.0,13.88,-11.5,,
39.0,24.0,-9.5,0.45,
40.0,24.0,-9.3,,
41.0,24.0,-11.5,,
42.0,24.0,-12.5,,
43.0,24.0,-13.3,,
44.0,24.0,-11.0,,
45.0,24.0,-5.3,,
46.0,24.0,-5.0,0.49,
47.0,24.0,-7.0,,
48.0,24.0,-2.5,,
48.9,21.06,2.0,,
49.0,2.94,2.0,,
50.0,24.0,2.0,0.41,
51.0,24.0,-7.3,,
52.0,24.0,-7.8,,
53.0,24.0,-3.0,,
54.0,24.0,-16.8,,
55.0,24.0,-10.5,,
56.0,24.0,-6.3,,
57.0,24.0,-19.0,,
58.0,24.0,-19.5,,
59.0,24.0,-16.0,,
60.0,24.0,-21.0,,
61.0,24.0,-10.3,0.63,
62.0,24.0,-8.3,,
63.0,24.0,-10.5,,
64.0,24.0,-9.0,,
65.0,24.0,-18.0,,
66.0,24.0,-20.3,,
67.0,24.0,-15.0,,
68.0,24.0,-4.3,,
69.0,24.0,-5.3,,
70.0,24.0,-14.5,0.66,
71.0,24.0,-11.0,,
72.0,24.0,-14.5,,
73.0,24.0,-23.0,,
74.0,24.0,-26.0,,
75.0,24.0,-19.5,,
76.0,24.0,-17.8,,
77.0,24.0,-18.3,,
78.0,24.0,-20.0,,
79.0,24.0,-18.8,,
80.0,24.0,-12.0,,
81.0,24.0,-5.0,,
82.0,24.0,-15.8,,
83.0,24.0,-18.8,,
84.0,24.0,-11.8,,
85.0,24.0,-11.0,,
86.0,24.0,-7.5,,
87.0,24.0,-1.8,,
88.0,24.0,-5.3,,
89.0,24.0,-13.5,0.95,
90.0,24.0,-18.0,,
91.0,24.0,-9.5,,
92.0,24.0,-14.8,,
93.0,24.0,-14.5,,
94.0,24.0,-30.0,,
95.0,24.0,-28.8,,
96.0,24.0,-19.3,,
97.0,24.0,-19.8,,
98.0,24.0,-10.3,,
99.0,24.0,-14.5,,
100.0,24.0,-15.3,,
101.0,24.0,-28.8,,
102.0,24.0,-25.0,,
103.0,24.0,-16.8,,
104.0,24.0,-19.3,,
105.0,24.0,-10.3,,
106.0,24.0,-19.5,,
107.0,24.0,-19.8,,
108.0,24.0,-11.5,,
109.0,24.0,-8.5,1.21,
110.0,24.0,-16.8,,
111.0,24.0,-16.5,,
112.0,24.0,-8.0,,
113.0,24.0,-23.0,,
114.0,24.0,-23.5,,
115.0,24.0,-25.0,,
116.0,24.0,-28.0,,
117.0,24.0,-20.8,,
118.0,24.0,-13.8,,
119.0,24.0,-14.5,,
120.0,24.0,-20.5,,
121.0,24.0,-17.8,,
122.0,24.0,-19.3,,
123.0,24.0,-15.0,1.39,
123.9,21.44,-16.5,,
124.0,2.56,-16.5,,
125.0,24.0,-10.0,,
126.0,24.0,-6.8,,
127.0,24.0,-7.5,,
128.0,24.0,-8.3,,
129.0,24.0,-9.8,,
130.0,24.0,-8.0,,
131.0,24.0,-9.8,,
132.0,24.0,-9.3,,
133.0,24.0,-10.0,,
134.0,24.0,-7.3,,
135.0,24.0,-19.0,,
136.0,24.0,-16.5,,
137.0,24.0,-11.8,1.478,
138.0,24.0,-19.0,,
139.0,24.0,-10.3,,
140.0,24.0,-5.0,,
141.0,24.0,-21.0,,
142.0,24.0,-15.3,,
143.0,24.0,-7.8,,
144.0,24.0,-3.8,1.507,
145.0,24.0,-4.3,,
146.0,24.0,-10.5,,
147.0,24.0,-6.0,,
148.0,24.0,2.3,,
149.0,24.0,2.5,,
150.0,24.0,3.8,,
151.0,24.0,4.8,1.556,
152.0,24.0,1.5,,
153.0,24.0,1.0,,
154.0,24.0,-4.5,,
155.0,24.0,-6.0,,
156.0,24.0,-3.8,,
157.0,24.0,-1.0,,
158.0,24.0,-3.8,1.636,
159.0,24.0,-1.3,,
160.0,24.0,1.2,,
161.0,24.0,2.8,,
162.0,24.0,5.5,,
163.0,24.0,4.8,,
164.0,24.0,6.8,,
165.0,24.0,5.3,,
166.0,24.0,2.3,1.627,
167.0,24.0,2.0,,0.018
167.1,3.43,1.8,,
168.0,20.57,1.8,,
169.0,24.0,1.0,,
170.0,24.0,1.5,,
171.0,24.0,6.5,,
172.0,24.0,2.8,1.567,
173.0,24.0,1.3,,
174.0,24.0,-3.0,,
175.0,24.0,0.3,,
176.0,24.0,0.5,,
177.0,24.0,0.8,,
178.0,24.0,4.0,,
179.0,24.0,2.5,1.417,
180.0,24.0,1.8,,
181.0,24.0,-2.3,,
182.0,24.0,2.5,,
183.0,24.0,9.0,,
184.0,24.0,7.3,,
